年月日,降水量,気温_平均,気温_最高,気温_最低,湿度_平均,湿度_最小,日照時間
2023/1/1,0.0,6.6,13.0,0.9,62.0,28.0,8.8
2023/1/2,0.0,6.2,12.1,2.0,51.0,29.0,6.3
2023/1/3,0.0,5.8,11.0,0.5,42.0,23.0,8.9
2023/1/4,0.0,5.6,11.0,1.3,47.0,27.0,8.4
2023/1/5,0.0,5.9,10.6,2.6,36.0,21.0,8.8
2023/1/6,0.0,5.3,9.9,0.0,47.0,34.0,7.8
2023/1/7,0.0,6.0,10.4,3.0,59.0,44.0,8.8
2023/1/8,0.0,7.0,12.5,1.6,58.0,35.0,8.8
2023/1/9,0.0,8.0,13.9,2.4,61.0,41.0,8.8
2023/1/10,0.0,6.3,9.9,2.8,42.0,25.0,8.9
2023/1/11,0.0,5.4,10.7,1.5,52.0,31.0,6.9
2023/1/12,0.0,6.1,12.6,1.3,52.0,25.0,8.7
2023/1/13,0.0,8.7,14.0,3.1,60.0,37.0,6.0
2023/1/14,1.5,9.5,14.2,7.1,81.0,63.0,0.0
2023/1/15,3.0,10.3,12.0,7.6,84.0,70.0,0.0
2023/1/16,8.0,6.3,7.7,3.6,90.0,55.0,0.0
2023/1/17,1.5,4.7,7.6,2.1,65.0,44.0,2.0
2023/1/18,0.0,7.3,12.4,3.8,64.0,42.0,5.3
2023/1/19,0.0,6.3,9.1,2.7,61.0,41.0,2.9
2023/1/20,0.5,7.6,12.3,3.9,63.0,33.0,8.8
2023/1/21,0.0,5.6,9.0,3.2,37.0,26.0,9.0
2023/1/22,0.0,4.9,8.9,1.7,51.0,33.0,5.2
2023/1/23,0.5,4.5,6.1,2.8,77.0,56.0,0.1
2023/1/24,0.5,4.7,11.8,-0.8,61.0,28.0,5.1
2023/1/25,0.0,-0.3,3.7,-2.9,30.0,20.0,9.2
2023/1/26,0.0,3.0,8.5,-3.4,44.0,32.0,8.8
2023/1/27,0.0,3.8,6.6,1.5,59.0,41.0,1.0
2023/1/28,0.0,3.7,8.3,0.4,37.0,22.0,7.8
2023/1/29,0.0,3.4,8.8,-1.6,50.0,28.0,9.2
2023/1/30,0.0,4.2,10.0,-0.7,53.0,32.0,7.3
2023/1/31,0.0,4.6,9.0,1.3,38.0,25.0,7.4
2023/2/1,0.0,6.8,13.1,-0.7,47.0,25.0,8.7
2023/2/2,0.0,6.4,9.2,4.7,36.0,22.0,3.6
2023/2/3,0.0,4.8,6.2,3.2,47.0,38.0,0.1
2023/2/4,0.0,6.5,11.2,2.2,58.0,42.0,6.2
2023/2/5,0.0,6.8,12.0,1.4,55.0,27.0,9.3
2023/2/6,0.0,7.8,13.6,3.2,56.0,31.0,8.1
2023/2/7,0.0,10.5,15.4,6.7,63.0,41.0,4.0
2023/2/8,0.0,8.7,11.7,5.6,70.0,49.0,1.8
2023/2/9,0.0,6.2,10.6,2.3,39.0,26.0,9.6
2023/2/10,27.5,1.9,3.5,0.0,82.0,44.0,0.0
2023/2/11,0.0,8.7,14.1,2.6,61.0,37.0,9.5
2023/2/12,0.0,11.0,16.9,4.9,65.0,48.0,6.6
2023/2/13,10.5,7.7,10.3,4.9,87.0,64.0,0.0
2023/2/14,0.0,5.6,10.7,3.3,45.0,29.0,3.0
2023/2/15,0.0,3.5,7.8,0.8,37.0,27.0,6.2
2023/2/16,0.0,4.1,9.6,-0.7,48.0,29.0,9.9
2023/2/17,0.0,5.7,10.8,0.8,55.0,39.0,9.7
2023/2/18,0.0,8.9,15.0,1.8,61.0,28.0,9.4
2023/2/19,0.0,11.8,18.5,6.9,56.0,43.0,1.1
2023/2/20,0.0,9.7,14.7,4.7,43.0,30.0,8.8
2023/2/21,0.0,4.7,9.2,2.2,36.0,23.0,10.1
2023/2/22,0.0,5.5,10.4,0.2,46.0,26.0,10.2
2023/2/23,0.0,8.5,14.4,4.6,53.0,38.0,5.9
2023/2/24,2.5,8.9,12.1,6.0,71.0,47.0,0.0
2023/2/25,0.0,7.5,12.7,4.0,50.0,27.0,4.6
2023/2/26,0.0,6.0,10.7,1.9,35.0,25.0,10.7
2023/2/27,0.0,8.7,15.0,3.0,46.0,21.0,10.7
2023/2/28,0.0,11.6,19.4,3.1,51.0,31.0,10.8
2023/3/1,0.0,13.8,19.4,7.3,49.0,24.0,6.5
2023/3/2,0.0,12.8,20.0,6.1,50.0,29.0,4.1
2023/3/3,0.0,7.8,13.4,3.6,49.0,29.0,6.4
2023/3/4,0.0,10.5,17.4,5.0,44.0,24.0,9.8
2023/3/5,0.0,9.5,13.1,6.9,57.0,42.0,1.7
2023/3/6,1.0,9.9,15.0,6.8,79.0,57.0,3.7
2023/3/7,0.0,12.1,18.8,6.5,65.0,24.0,10.4
2023/3/8,0.0,14.0,21.3,7.2,52.0,31.0,10.5
2023/3/9,0.0,15.9,22.2,9.4,55.0,29.0,9.6
2023/3/10,1.0,17.3,22.9,12.5,56.0,32.0,7.2
2023/3/11,0.0,14.7,20.8,9.0,44.0,23.0,10.4
2023/3/12,0.0,14.5,18.8,9.7,63.0,48.0,5.5
2023/3/13,9.0,13.9,16.7,9.7,75.0,58.0,0.6
2023/3/14,0.0,10.0,14.6,7.1,59.0,41.0,6.4
2023/3/15,0.0,12.3,17.9,6.8,65.0,46.0,9.9
2023/3/16,0.0,14.5,20.9,8.5,68.0,46.0,10.7
2023/3/17,0.0,12.5,15.1,9.5,78.0,66.0,0.0
2023/3/18,32.0,8.1,9.5,6.9,96.0,86.0,0.0
2023/3/19,0.0,10.0,15.5,4.4,57.0,29.0,11.1
2023/3/20,0.0,13.1,19.2,6.1,61.0,34.0,11.1
2023/3/21,0.0,14.7,18.5,10.8,72.0,55.0,0.9
2023/3/22,0.0,17.2,23.8,12.4,74.0,46.0,7.9
2023/3/23,14.5,16.5,19.7,13.9,98.0,89.0,0.0
2023/3/24,15.5,18.1,25.0,13.8,87.0,46.0,1.6
2023/3/25,26.0,11.0,14.1,9.4,95.0,86.0,0.0
2023/3/26,27.0,11.4,12.5,10.4,99.0,90.0,0.0
2023/3/27,0.0,13.4,16.9,11.2,55.0,35.0,2.3
2023/3/28,3.0,10.2,13.4,7.5,80.0,64.0,1.7
2023/3/29,15.5,12.6,18.6,8.3,72.0,49.0,3.7
2023/3/30,0.5,14.1,19.7,10.1,76.0,42.0,5.8
2023/3/31,0.0,15.0,20.1,10.4,73.0,41.0,4.6